               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.016632,           0.0060971,                   0,              0.9972,             0.99914,             0.99492,             0.88177,            0.012432,           0.0028711,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.016711,           0.0060692,                   0,             0.99793,                   1,             0.99494,             0.87572,            0.012836,           0.0029316,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.016448,           0.0059934,                   0,             0.99731,             0.99914,             0.99496,               0.881,            0.012703,           0.0028769,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.016556,            0.005948,                   0,             0.99731,             0.99914,             0.99494,             0.88441,            0.012422,           0.0028426,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.016323,           0.0059672,                   0,             0.99721,             0.99914,             0.99489,             0.88609,            0.012155,           0.0028131,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.016252,           0.0059677,                   0,             0.99648,             0.99827,             0.99495,             0.88844,            0.012284,           0.0028224,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.016308,           0.0060245,                   0,             0.99742,             0.99905,              0.9949,             0.88554,            0.012424,           0.0028158,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.01629,           0.0058961,                   0,             0.99818,                   1,             0.99482,             0.88664,            0.012124,           0.0028238,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.016061,           0.0059361,                   0,             0.99732,             0.99914,              0.9949,             0.88684,            0.012187,           0.0027937,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.01607,           0.0059032,                   0,             0.99729,             0.99914,             0.99497,             0.88834,            0.012278,            0.002825,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.016326,           0.0059876,                   0,              0.9973,             0.99914,             0.99494,             0.88591,            0.012145,           0.0027982,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.016095,           0.0058893,                   0,             0.99733,             0.99914,             0.99497,             0.89141,            0.012131,           0.0027923,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.016049,           0.0059037,                   0,             0.99722,             0.99914,             0.99499,             0.89066,            0.012148,           0.0027834,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.016007,           0.0058329,                   0,              0.9973,             0.99914,             0.99498,             0.89214,            0.011864,           0.0027477,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.015849,            0.005821,                   0,             0.99729,             0.99914,             0.99495,             0.89588,            0.011947,           0.0027138,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.016066,            0.005721,                   0,             0.99727,             0.99914,             0.99494,             0.89433,            0.011957,           0.0027596,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.015746,           0.0057657,                   0,             0.99687,             0.99914,             0.99497,             0.89679,            0.011614,           0.0027077,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.01583,           0.0058693,                   0,             0.99721,             0.99914,             0.99497,             0.89647,            0.011943,           0.0027145,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.015626,           0.0057278,                   0,             0.99803,             0.99827,             0.99498,             0.89431,            0.011845,           0.0027088,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.015994,           0.0057173,                   0,             0.99742,             0.99901,             0.99496,             0.89776,            0.011807,           0.0027362,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.015749,           0.0056956,                   0,             0.99818,             0.99914,             0.99497,             0.89647,            0.011731,           0.0027077,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.015705,           0.0057295,                   0,             0.99651,             0.99914,             0.99496,             0.89899,            0.011825,            0.002711,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.015673,           0.0056515,                   0,             0.99812,                   1,             0.99495,             0.89859,            0.011848,           0.0027131,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.015637,           0.0056994,                   0,             0.99734,             0.99914,             0.99482,             0.89932,            0.011821,            0.002689,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.015636,           0.0057574,                   0,             0.99817,             0.99914,             0.99498,             0.89784,             0.01184,           0.0027254,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.015607,           0.0056828,                   0,             0.99729,             0.99914,             0.99488,             0.89986,            0.011752,           0.0026683,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.015493,           0.0056661,                   0,             0.99725,             0.99914,             0.99495,             0.89662,            0.011689,            0.002668,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.015684,           0.0056652,                   0,             0.99729,             0.99914,             0.99493,             0.89593,            0.011655,           0.0027271,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.015514,           0.0056823,                   0,             0.99729,             0.99914,             0.99494,             0.89783,            0.011627,           0.0027021,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.015368,           0.0056585,                   0,             0.99817,             0.99914,             0.99493,             0.90251,            0.011574,           0.0026466,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.015601,           0.0056519,                   0,             0.99727,             0.99914,             0.99496,             0.90213,            0.011394,           0.0026488,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.015549,           0.0057069,                   0,             0.99732,             0.99914,             0.99498,              0.9015,            0.011405,           0.0026554,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.015213,           0.0055316,                   0,             0.99813,                   1,             0.99497,             0.90387,            0.011617,           0.0026672,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.01522,           0.0056395,                   0,             0.99733,             0.99914,             0.99497,             0.89836,             0.01172,           0.0026853,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.015295,            0.005533,                   0,             0.99729,             0.99914,             0.99497,             0.90196,             0.01174,           0.0026463,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.015265,           0.0056759,                   0,             0.99725,             0.99914,             0.99496,             0.90284,            0.011671,           0.0026432,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.015108,           0.0056175,                   0,             0.99732,             0.99914,             0.99496,             0.90382,            0.011536,           0.0026299,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.015092,           0.0056234,                   0,             0.99643,             0.99914,             0.99484,             0.90228,            0.011484,           0.0026478,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.015175,           0.0054743,                   0,             0.99727,             0.99914,             0.99488,             0.90425,            0.011593,           0.0026617,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.015149,           0.0056212,                   0,             0.99813,                   1,             0.99497,             0.90488,            0.011344,           0.0026347,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.014936,           0.0055034,                   0,             0.99731,             0.99914,               0.995,             0.90779,            0.011331,           0.0026086,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.015097,             0.00547,                   0,             0.99818,                   1,             0.99493,             0.90587,            0.011409,           0.0026516,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.014961,            0.005606,                   0,             0.99813,                   1,             0.99476,             0.90595,            0.011375,           0.0026399,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.015073,           0.0054309,                   0,             0.99817,                   1,             0.99496,             0.90521,            0.011315,            0.002637,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.014981,           0.0054757,                   0,             0.99735,             0.99914,             0.99497,             0.90539,            0.011209,           0.0026495,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.014848,           0.0055015,                   0,             0.99822,             0.99914,             0.99498,              0.9038,            0.011337,           0.0026424,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.014933,           0.0055535,                   0,             0.99801,             0.99914,             0.99495,             0.90387,            0.011421,           0.0026549,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.01493,            0.005394,                   0,             0.99741,             0.99914,             0.99498,             0.90331,            0.011387,           0.0026472,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.014876,           0.0055479,                   0,             0.99823,             0.99914,             0.99499,             0.90553,            0.011251,             0.00262,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.014683,           0.0054255,                   0,             0.99733,             0.99914,             0.99497,             0.90389,            0.011134,           0.0026148,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.01455,           0.0053844,                   0,             0.99732,             0.99914,             0.99499,             0.90507,            0.011261,           0.0026297,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.014865,           0.0054839,                   0,             0.99742,              0.9991,             0.99499,             0.90502,            0.011272,           0.0026129,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.014762,           0.0054008,                   0,             0.99741,             0.99914,             0.99498,               0.905,            0.011263,           0.0026076,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.014942,           0.0055078,                   0,              0.9974,             0.99914,             0.99497,             0.90422,            0.011182,           0.0026113,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.014767,           0.0053819,                   0,             0.99733,             0.99914,             0.99498,             0.90652,            0.011164,            0.002604,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.014708,           0.0054523,                   0,             0.99809,             0.99914,             0.99498,             0.90583,             0.01127,           0.0026122,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.015036,           0.0054054,                   0,             0.99742,             0.99888,             0.99498,              0.9081,            0.011265,           0.0026032,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.014577,           0.0053419,                   0,             0.99816,             0.99914,             0.99498,             0.90665,            0.011218,           0.0025935,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.01477,           0.0053876,                   0,             0.99812,             0.99914,             0.99498,              0.9081,            0.011327,           0.0025995,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.014589,           0.0053369,                   0,             0.99819,                   1,             0.99497,             0.90838,            0.011256,           0.0026028,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.014531,            0.005297,                   0,             0.99818,                   1,             0.99497,             0.90801,            0.011169,           0.0025969,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.014599,           0.0053957,                   0,             0.99809,                   1,             0.99497,              0.9085,            0.011139,           0.0025926,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.014396,           0.0053001,                   0,             0.99803,                   1,             0.99498,             0.90813,             0.01117,            0.002585,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.014393,           0.0054388,                   0,             0.99814,                   1,             0.99498,             0.90884,            0.011127,           0.0025878,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.014266,           0.0053351,                   0,             0.99815,                   1,             0.99497,             0.90986,            0.011085,           0.0025816,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.014267,           0.0053004,                   0,             0.99816,                   1,             0.99497,              0.9088,            0.011031,           0.0025834,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.014408,           0.0053455,                   0,             0.99817,                   1,             0.99497,             0.90948,            0.011052,           0.0025819,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.014281,           0.0052529,                   0,             0.99726,             0.99914,             0.99497,             0.90867,            0.011068,           0.0025778,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.014228,           0.0052431,                   0,              0.9973,             0.99914,             0.99497,             0.91014,            0.011071,           0.0025625,                   0,            0.006535,            0.006535,            0.006535
